sku,Prozessor,Speicher,Bildschirm,Speichermedien,Batterie,short_description,long_description
27262160,MediaTek MT8165 (1.7 GHz),2 GB,1920 x 1200 pixel,16 GB,7000 mAh (Li-Ion),"MediaTek MT8165 (1.7 GHz), 2GB LP-DDR3 RAM, 16GB eMMC, 25.654 cm (10.1 "") Full HD (1920x1200) IPS MT, 8/5MP, Android 4.4 KitKat","Lenovo A10-70, TAB 2. Prozessor-Taktfrequenz: 1,7 GHz, Prozessorfamilie: Mediatek, Prozessor: MT8165. RAM-Speicher: 2 GB, Interner Speichertyp: LPDDR3-SDRAM, RAM-Speicher maximal: 2 GB. Interne Speicherkapazität: 16 GB, Kompatible Speicherkarten: MicroSD (TransFlash), Max. Speicherkartengröße: 64 GB. Bildschirmdiagonale: 25,6 cm (10.1""), Bildschirmauflösung: 1920 x 1200 Pixel, Bildschirmtechnologie: IPS. Auflösung Rückkamera: 8 MP, Auflösung Frontkamera: 5 MP"
22626962,Intel Atom Z3770 (1.46 GHz),2GB,1920 x 1200 pixel,128 GB,20.5 Wh (LiPo),"Lenovo ThinkPad ThinkPad 8, Mini-Tablet, Tablet, Windows 8.1 Pro, 32-bit, Schwarz, Lithium Polymer (LiPo)","Lenovo ThinkPad 8, ThinkPad. Prozessor-Taktfrequenz: 1,46 GHz, Prozessorfamilie: Intel Atom, Prozessor: Z3770. RAM-Speicher: 2 GB, Interner Speichertyp: LPDDR3-SDRAM, Speichertaktfrequenz: 1067 MHz. Interne Speicherkapazität: 128 GB, Kompatible Speicherkarten: MicroSD (TransFlash), Max. Speicherkartengröße: 64 GB. Bildschirmdiagonale: 21,1 cm (8.3""), Bildschirmauflösung: 1920 x 1200 Pixel, Bildschirmtechnologie: IPS. Grafikkarte-Familie: Intel, Grafikkarte: HD Graphics"
29414094,Qualcomm APQ8009 (1.3 GHz),1 GB,1280 x 800 pixel,16 GB,6200 mAh (Li-Ion),"Qualcomm APQ8009 (1.3 GHz), 1GB RAM, 16GB eMMC, 20.32 cm (8.0 "") LCD IPS (1280x800) MT, Android 5.1","Lenovo 3 8, Yoga Tablet. Prozessor-Taktfrequenz: 1,3 GHz, Prozessorfamilie: Qualcomm Snapdragon, Prozessor: APQ8009. RAM-Speicher: 1 GB. Interne Speicherkapazität: 16 GB, Kompatible Speicherkarten: MicroSD (TransFlash), Max. Speicherkartengröße: 128 GB. Bildschirmdiagonale: 20,3 cm (8""), Bildschirmauflösung: 1280 x 800 Pixel, Bildschirmtechnologie: IPS. Auflösung Rückkamera: 8 MP"
29743301,"Intel Atom x5-Z8500 Processor (2M Cache, up to 2.24 GHz)",2 GB,2560 x 1600 pixel,32 GB,,"Lenovo Yoga Tablet 3 Pro 10, Tablet Full-Size, Tablet, Android, Schwarz, 802.11a, 802.11b, 802.11g, 802.11n, Intel","Lenovo 3 Pro 10, Yoga Tablet. Prozessor-Taktfrequenz: 1,44 GHz, Prozessorfamilie: Intel Atom, Prozessor: x5-Z8500. RAM-Speicher: 2 GB, Interner Speichertyp: LPDDR3-SDRAM, Speichertaktfrequenz: 1600 MHz. Interne Speicherkapazität: 32 GB, Kompatible Speicherkarten: MicroSD (TransFlash), Max. Speicherkartengröße: 128 GB. Bildschirmdiagonale: 25,6 cm (10.1""), Bildschirmauflösung: 2560 x 1600 Pixel, Bildschirmtechnologie: IPS. Grafikkarte-Familie: Intel, Grafikkarte: HD Graphics"
24980927,Intel Celeron N2930 (1.83 GHz),2 GB,1280 x 800 pixel,32 GB,3220 mAh (Li-Ion),"17.78 cm (7 "") 1280x800 Touchscreen, Intel Celeron N2930 1.83 GHz, 2GB DDR3L 1333MHz SDRAM, 32GB eMMC Flash, MicroSDHC, 5MP/ 2MP webcam, 3G/ 4G LTE, Wi-Fi, Bluetooth 4.0+EDR, USB 3.0, USB 3.0, 3220 mAh Li-Ion, 540g, Android 4.4","Panasonic FZ-B2, Toughpad. Prozessor-Taktfrequenz: 1,83 GHz, Prozessorfamilie: Intel Celeron, Prozessor: N2930. RAM-Speicher: 2 GB, Interner Speichertyp: DDR3L-SDRAM, RAM-Speicher maximal: 8 GB. Interne Speicherkapazität: 32 GB, Kompatible Speicherkarten: SD, SDHC, Max. Speicherkartengröße: 64 GB. Bildschirmdiagonale: 17,8 cm (7""), Bildschirmauflösung: 1280 x 800 Pixel, Touch-Technologie: Multi-touch. Grafikkarte-Familie: Intel, Grafikkarte: HD Graphics"
26981568,Qualcomm Snapdragon 410 (1.20 GHz Quad-Core),1.5 GB,1024 x 768 pixel,16 GB,6000 mAh  (Li-Ion),"Qualcomm Snapdragon 410 (1.20 GHz Quad-Core), 1.5GB RAM, 16GB ROM/microSDHC up to 128GB, 24.638 cm (9.7 "") PLS TFT, 1024 x 768, micro USB 2.0, Rear 5.0/Front 2.0MP, Wi-Fi 802.11 a/b/g/n, Bluetooth 4.1, GPS/GLONASS, Li-Ion 6000mAh, Android 5.0 (Lollipop), Weiß","Samsung SM-T550, Galaxy Tab A. Prozessor-Taktfrequenz: 1,2 GHz, Prozessorfamilie: Qualcomm Snapdragon, Prozessor Architektur: ARM Cortex-A53. RAM-Speicher: 1,5 GB, RAM-Speicher maximal: 1,5. Interne Speicherkapazität: 16 GB, Kompatible Speicherkarten: MicroSDHC, Max. Speicherkartengröße: 128 GB. Bildschirmdiagonale: 24,6 cm (9.7""), Bildschirmauflösung: 1024 x 768 Pixel, Bildschirmtechnologie: PLS. Auflösung Rückkamera: 5 MP, Digitaler Zoom: 4x, Maximale Video-Auflösung: 1280 x 720 Pixel"
26564922,"1.2GHz Quad-Core, Qualcomm APQ 8016",1.5 GB,1024 x 768 pixel,16 GB,6000 mAh  (Li-Ion),"24.638 cm (9.7 "") PLS TFT 1024 x 768, 16GB, 1.2GHz Quad-Core, Qualcomm APQ 8016, 1.5GB RAM, Wi-Fi, Bluetooth, GPS, 5.0MP, 6000mAh, Android 5.0 Lollipop","Samsung SM-T550N, Galaxy Tab A. Prozessor-Taktfrequenz: 1,2 GHz, Prozessorfamilie: Qualcomm Snapdragon, Prozessor: APQ8016. RAM-Speicher: 1,5 GB, RAM-Speicher maximal: 1,5. Interne Speicherkapazität: 16 GB, Kompatible Speicherkarten: MicroSD (TransFlash), MicroSDHC, MicroSDXC, Max. Speicherkartengröße: 128 GB. Bildschirmdiagonale: 24,6 cm (9.7""), Bildschirmauflösung: 1024 x 768 Pixel, Bildschirmtechnologie: PLS. Auflösung Rückkamera: 5 MP, Digitaler Zoom: 4x, Maximale Video-Auflösung: 1280 x 720 Pixel"
28547942,4-Core CPU 1.3GHz,1.5 GB,1280 x 800 pixel,,5000 mAh,"Samsung Galaxy Tab E 9.6, Tablet Full-Size, Tablet, Android, Weiß, Taschenrechner, Notizen, 802.11b, 802.11g, 802.11n","Samsung 9.6, Galaxy Tab E. Prozessor-Taktfrequenz: 1,3 GHz. RAM-Speicher: 1,5 GB. Kompatible Speicherkarten: MicroSD (TransFlash), MicroSDHC, MicroSDXC, Max. Speicherkartengröße: 128 GB, Speichermedien: Flash. Bildschirmdiagonale: 24,4 cm (9.6""), Bildschirmauflösung: 1280 x 800 Pixel, Bildschirmtechnologie: TFT. Auflösung Rückkamera: 5 MP, Maximale Video-Auflösung: 1280 x 720 Pixel, Video-Capture Geschwindigkeit: 30 fps"
29536449,1.3 GHz Quad Core,1.5 GB,1280 x 800 pixel,8 GB,5000 mAh,"24.384 cm (9.6 "") 1280 x 800 TFT, 1.3 GHz Quad Core, RAM 1.5 GB, MicroSD, Wi-Fi, GPS/Glonass, Bluetooth, 5.0 MP, Android","Samsung SM-T560, Galaxy Tab E. Prozessor-Taktfrequenz: 1,3 GHz. RAM-Speicher: 1,5 GB. Interne Speicherkapazität: 8 GB, Kompatible Speicherkarten: MicroSD (TransFlash), Max. Speicherkartengröße: 128 GB. Bildschirmdiagonale: 24,4 cm (9.6""), Bildschirmauflösung: 1200 x 800 Pixel, Bildschirmtechnologie: TFT. Auflösung Rückkamera: 5 MP, Weißabgleich: Auto, Maximale Video-Auflösung: 1280 x 720 Pixel"
29385583,Samsung Exynos 1.9 GHz,3 GB,2048 x 1536 pixel,32 GB,4000 mAh (Li-Ion),"8.0” 2048 x 1536(QXGA) Super AMOLED, CPU Quad 1.9GHz & Quad 1.3GHz, 3GB RAM, Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, Bluetooth 4.1 BLE, GPS, GLONASS, 8MP AF (Rear) & 2.1MP (Front), microSD, 4000mAh, Android 5.0 (Lollipop)","Samsung 8.0, Galaxy Tab S2. Prozessor-Taktfrequenz: 1,9 GHz, Prozessorfamilie: Samsung Exynos, Co-Prozessor-Taktfrequenz: 1,3 GHz. RAM-Speicher: 3 GB, RAM-Speicher maximal: 3 GB. Interne Speicherkapazität: 32 GB, Kompatible Speicherkarten: MicroSD (TransFlash), MicroSDHC, MicroSDXC, Max. Speicherkartengröße: 128 GB. Bildschirmdiagonale: 20,3 cm (8""), Bildschirmauflösung: 2048 x 1536 Pixel, Bildschirmtechnologie: Super AMOLED. Auflösung Rückkamera: 8 MP, Maximale Video-Auflösung: 2560 x 1440 Pixel, Video-Capture Geschwindigkeit: 30 fps"
30345097,1.6 GHz,2 GB,1920 x 1080 pixel,32 GB,5700 mAh,"Galaxy View - 18.4"" FHD TFT (1080 x 1920 px), 1.6GHz Octa-Core prozessor, 2GB RAM, 32 GB, MicroSD (bis zu 128 GB), Wi-Fi 802.11a/b/g/n/ac, Bluetooth 4.1, GPS, Glonass, 2650 g, Schwarz","Samsung SM-T670, Galaxy View. Prozessor-Taktfrequenz: 1,6 GHz. RAM-Speicher: 2 GB. Interne Speicherkapazität: 32 GB, Kompatible Speicherkarten: MicroSD (TransFlash), MicroSDHC, Max. Speicherkartengröße: 128 GB. Bildschirmdiagonale: 46,7 cm (18.4""), Bildschirmauflösung: 1920 x 1080 Pixel, Bildschirmtechnologie: TFT. Auflösung Rückkamera: 2,1 MP, Maximale Video-Auflösung: 1920 x 1080 Pixel, Videoaufnahme-Modi: 1080p"
21811723,Qualcomm MSM8974AB 2.3 GHz,3 GB,1920 x 1200 pixel,32 GB,6000 mAh (LiPo),"Xperia Tablet Z2 - 32GB, Mobile BRAVIA Engine 2, 1920 x 1200, FM Radio, 8.1/2.2MP, GSM/GPRS/EDGE, RAM: 3GB, Wi-Fi, DLNA, Bluetooth 4.0, NFC, 3.5mm, 439g","Sony SGP512E1, Xperia. Prozessor-Taktfrequenz: 2,3 GHz, Prozessorfamilie: Qualcomm, Prozessor: MSM8974AB. RAM-Speicher: 3 GB, RAM-Speicher maximal: 3 GB. Interne Speicherkapazität: 32 GB, Kompatible Speicherkarten: MicroSD (TransFlash), MicroSDHC, MicroSDXC, Max. Speicherkartengröße: 64 GB. Bildschirmdiagonale: 25,6 cm (10.1""), Bildschirmauflösung: 1920 x 1200 Pixel, Bildschirmtechnologie: TFT. Grafikkarte-Familie: Adreno, Grafikkarte: Adreno 330"
26974234,2.3 GHz Qualcomm MSM8974AB Quad Core,3 GB,1920 x 1200 pixel,16 GB,6000 mAh,"Xperia Tablet Z2 - 10.1"" 1920 x 1200 TFT, 2.3 GHz Qualcomm MSM8974AB Quad Core, RAM 3 GB, microSD, 8.1MP, ANT+, Bluetooth, Wi-Fi, IP55/IP58, Android 4.4 (KitKat)","Sony Z2 Tablet, Xperia. Prozessor-Taktfrequenz: 2,3 GHz, Prozessorfamilie: Qualcomm Snapdragon, Prozessor: MSM8974AB. RAM-Speicher: 3 GB. Interne Speicherkapazität: 16 GB, Kompatible Speicherkarten: MicroSD (TransFlash), Max. Speicherkartengröße: 64 GB. Bildschirmdiagonale: 25,6 cm (10.1""), Bildschirmauflösung: 1920 x 1200 Pixel, Bildschirmtechnologie: TFT. Auflösung Rückkamera: 8,1 MP, Digitaler Zoom: 8x, Maximale Video-Auflösung: 1920 x 1080 Pixel"
24692598,Snapdragon 801 Quad-core 2.5 GHz,3 GB,1920 x 1200 pixel,16 GB,4500 mAh,"Sony Xperia Z3 Compact, Mini-Tablet, Tablet, Android, 4.4 KitKat, Schwarz, 802.11a, 802.11ac, 802.11b, 802.11g, 802.11n","Sony Z3 Compact, Xperia. Prozessor-Taktfrequenz: 2,5 GHz, Prozessorfamilie: Qualcomm Snapdragon. RAM-Speicher: 3 GB. Interne Speicherkapazität: 16 GB, Kompatible Speicherkarten: MicroSD (TransFlash), MicroSDXC, Max. Speicherkartengröße: 128 GB. Bildschirmdiagonale: 20,3 cm (8""), Bildschirmauflösung: 1920 x 1200 Pixel, Bildschirmtechnologie: IPS. Grafikkarte-Familie: Adreno, Grafikkarte: Adreno 330"
