externalId,name.fr,slug.fr
923,modules audio,923_modules-audio
925,serveurs d'impression,925_serveurs-dimpression
932,serveurs de stockage,932_serveurs-de-stockage
933,adaptateurs d'objectifs d'appareil photo,933_adaptateurs-dobjectifs-dappareil-photo
934,cables d'appareil photo,934_cables-dappareil-photo
935,microphones,935_microphones
937,robots de divertissement,937_robots-de-divertissement
940,accessoires écran/TV,940_accessoires-ecrantv
942,supports d'écrans plats pour bureau,942_supports-decrans-plats-pour-bureau
943,filtres anti-reflets pour écran et filtres de confidentialité,943_filtres-anti-reflets-pour-ecran-et-filtres-de-confidentialite
946,piles non-rechargeables,946_piles-non-rechargeables
952,câbles coaxiaux,952_cables-coaxiaux
953,câbles de fibre optique,953_cables-de-fibre-optique
956,câbles plats et rubans,956_cables-plats-et-rubans
957,cartes à puce,957_cartes-a-puce
961,analyseurs de réseaux,961_analyseurs-de-reseaux
962,cours d'informatique,962_cours-dinformatique
963,unités d'alimentation d'énergie,963_unites-dalimentation-denergie
964,multi-ports infrarouges,964_multi-ports-infrarouges
966,lecteurs zip,966_lecteurs-zip
971,médias grand format,971_medias-grand-format
977,câbles antivol,977_cables-antivol
978,kits d'imprimantes et scanners,978_kits-dimprimantes-et-scanners
979,housses anti-poussière,979_housses-anti-poussiere
980,recharges d'agraphes,980_recharges-dagraphes
981,photoconducteurs et unités de mise en image,981_photoconducteurs-et-unites-de-mise-en-image
982,coussins,982_coussins
984,unités de distribution d'énergie,984_unites-de-distribution-denergie
986,matériels de base,986_materiels-de-base
987,connecteurs coaxiaux,987_connecteurs-coaxiaux
989,processeurs,989_processeurs
991,lecteurs de carte magnétique,991_lecteurs-de-carte-magnetique
992,équipements GPRS,992_equipements-gprs
996,Emballages,996_emballages
998,supports,998_supports
999,convertisseurs de canal,999_convertisseurs-de-canal
1001,lecteurs et enregistreurs DVD,1001_lecteurs-et-enregistreurs-dvd
1006,objectifs de projection,1006_objectifs-de-projection
1007,kits de support,1007_kits-de-support
1008,network media converters,1008_network-media-converters
1010,étiquettes à imprimer,1010_etiquettes-a-imprimer
1013,cordes,1013_cordes
1014,rubans adhésifs,1014_rubans-adhesifs
1015,colles,1015_colles
1017,pèses-lettres,1017_peses-lettres
1018,mètres,1018_metres
1020,casques,1020_casques
1022,pochettes plastiques,1022_pochettes-plastiques
1023,rubans de machine à écrire,1023_rubans-de-machine-a-ecrire
1024,cartouches toner,1024_cartouches-toner
1025,portes crayons et stylos,1025_portes-crayons-et-stylos
1026,étagères à livres et portes fichiers,1026_etageres-a-livres-et-portes-fichiers
1027,boites et ranges archives,1027_boites-et-ranges-archives
1028,classements pour dossiers,1028_classements-pour-dossiers
1029,protections de surfaces,1029_protections-de-surfaces
1030,portes-documents,1030_portes-documents
1031,dossiers suspendus et accessoires,1031_dossiers-suspendus-et-accessoires
1032,portes-cartes,1032_portes-cartes
1033,accessoires de reliure,1033_accessoires-de-reliure
1034,oeillets de renfort,1034_oeillets-de-renfort
1035,attaches-parisiennes,1035_attaches-parisiennes
1036,relieuses thermiques,1036_relieuses-thermiques
1038,armoires et supports à clés,1038_armoires-et-supports-a-cles
1040,reposes pieds,1040_reposes-pieds
1041,reposes poignets,1041_reposes-poignets
1045,cartes de jeu,1045_cartes-de-jeu
1048,kits de calligraphie,1048_kits-de-calligraphie
1049,stylos fins,1049_stylos-fins
1050,albums photos et protèges pages,1050_albums-photos-et-proteges-pages
1051,stickers photos,1051_stickers-photos
1052,étiquettes auto-collantes,1052_etiquettes-auto-collantes
1053,étiquettes d'adresses,1053_etiquettes-dadresses
1054,portes-clés,1054_portes-cles
1056,supports muraux d'écrans plats,1056_supports-muraux-decrans-plats
1057,logiciels de serveur d'applications,1057_logiciels-de-serveur-dapplications
1058,Home cinémas,1058_home-cinemas
1060,Consoles de jeu,1060_consoles-de-jeu
1061,magnétoscopes,1061_magnetoscopes
1062,barebones PC/ poste de travail,1062_barebones-pc-poste-de-travail
1063,rubans correcteur,1063_rubans-correcteur
1064,consommables pour télécopieur,1064_consommables-pour-telecopieur
1065,mobilier de bureau,1065_mobilier-de-bureau
1066,DVDs vierges,1066_dvds-vierges
1069,Tableaux blancs,1069_tableaux-blancs
1070,étiquettes non-adhésives,1070_etiquettes-non-adhesives
1072,films polyesters blancs brillants,1072_films-polyesters-blancs-brillants
1075,perforateurs papier,1075_perforateurs-papier
1076,meubles de classement et accessoires,1076_meubles-de-classement-et-accessoires
1077,disquettes Zip,1077_disquettes-zip
1078,écrans LCD,1078_ecrans-lcd
1081,hauts-parleurs,1081_hauts-parleurs
1082,systèmes home cinéma,1082_systemes-home-cinema
1083,Radios portables,1083_radios-portables
1086,TV set-top boxes,1086_tv-set-top-boxes
1087,dictaphones,1087_dictaphones
