"slug","variantId","sku","Processor","Memory","Design","Storage","Graphics","short_description-en","long_description-en","short_description-de","long_description-de"
"153_hp_230-twr","1","25885453","3,6 GHz","8 GB","Mini Tower","1000 GB","NVIDIA Quadro K620","HP Z 230 TWR, i7-4790, Mini Tower, 64-bit, HDD, 10 - 40 °C, 10 - 90%","HP 230 TWR, Z. Processor frequency: 3.6 GHz, Processor family: Intel Core i7-4xxx, Processor model: i7-4790. Internal memory: 8 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 32 GB. Total storage capacity: 1000 GB, Storage media: HDD, Hard drive capacity: 1000 GB. Optical drive type: DVD Super Multi. Discrete graphics adapter model: NVIDIA Quadro K620, Discrete graphics adapter memory: 2 GB, On-board graphics adapter model: Intel HD Graphics 4600","HP 200 280 G1, i5-4590S, Micro Tower, 64-bit, Festplatte, Intel Core i5-4xxx, DVD Super Multi","HP 280 G1, 200. Prozessor-Taktfrequenz: 3 GHz, Prozessorfamilie: Intel Core i5-4xxx, Prozessor: i5-4590S. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 16 GB. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Optisches Laufwerk - Typ: DVD Super Multi. On-board Grafik Modell: Intel HD Graphics 4600, On-Board Grafikadapter Basisfrequenz: 350 MHz, Maximale dynamische Frequenz der On-Board Grafikadapter: 1150 MHz"
"153_hp_280-g1","1","29406823","3 GHz","4 GB","Micro Tower","500 GB","Intel HD Graphics 4600","HP 200 280 G1, i5-4590S, Micro Tower, 64-bit, HDD, Intel Core i5-4xxx, DVD Super Multi","HP 280 G1, 200. Processor frequency: 3 GHz, Processor family: Intel Core i5-4xxx, Processor model: i5-4590S. Internal memory: 4 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 16 GB. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Optical drive type: DVD Super Multi. On-board graphics adapter model: Intel HD Graphics 4600, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1150 MHz","HP EliteDesk 800 G1, i5-4590, SFF, 64-bit, Festplatte, 10 - 35 °C, 10 - 90%","HP 800 G1, EliteDesk. Prozessor-Taktfrequenz: 3,3 GHz, Prozessorfamilie: Intel Core i5-4xxx, Prozessor: i5-4590. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 32 GB. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Optisches Laufwerk - Typ: DVD Super Multi. On-board Grafik Modell: Intel HD Graphics 4600, On-Board Grafikadapter Basisfrequenz: 350 MHz, Maximale dynamische Frequenz der On-Board Grafikadapter: 1150 MHz"
"153_hp_400-g25-sff","1","28552654","3 GHz","4 GB","SFF","1000 GB","Intel HD Graphics 4600","HP ProDesk 400 G2.5 SFF, i5-4590S, SFF, 64-bit, HDD, Intel Core i5-4xxx, DVD Super Multi","HP 400 G2.5 SFF, ProDesk. Processor frequency: 3 GHz, Processor family: Intel Core i5-4xxx, Processor model: i5-4590S. Internal memory: 4 GB, Internal memory type: DDR3L-SDRAM, Maximum internal memory: 16 GB. Total storage capacity: 1000 GB, Storage media: HDD, Hard drive capacity: 1000 GB. Optical drive type: DVD Super Multi, BD interface type: SATA. On-board graphics adapter model: Intel HD Graphics 4600, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1150 MHz","HP EliteDesk P1G46EA, i5-6500, Desktop, 64-bit, Festplatte, Intel Core i5-6xxx, DVD±RW","HP P1G46EA, EliteDesk. Prozessor-Taktfrequenz: 3,2 GHz, Prozessorfamilie: Intel Core i5-6xxx, Prozessor: i5-6500. RAM-Speicher: 4 GB, Interner Speichertyp: DDR4-SDRAM, Speicherlayout: 1 x 4 GB. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Optisches Laufwerk - Typ: DVD±RW. On-board Grafik Modell: Intel HD Graphics 530"
"153_hp_400-g3-mt","1","29891383","3,7 GHz","4 GB","Micro Tower","500 GB","Intel HD Graphics 530","HP ProDesk 400 G3 MT, i3-6100, Micro Tower, 64-bit, HDD, 10 - 40 °C, 10 - 90%","HP 400 G3 MT, ProDesk. Processor frequency: 3.7 GHz, Processor family: Intel Core i3-6xxx, Processor model: i3-6100. Internal memory: 4 GB, Internal memory type: DDR4-SDRAM, Maximum internal memory: 32 GB. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Optical drive type: DVD Super Multi. On-board graphics adapter model: Intel HD Graphics 530, On-board graphics adapter outputs supported: DVI, DisplayPort, Embedded DisplayPort (eDP), HDMI, On-board graphics adapter base frequency: 350 MHz","HP ProDesk 400 G2.5 SFF, i5-4590S, SFF, 64-bit, Festplatte, Intel Core i5-4xxx, DVD Super Multi","HP 400 G2.5 SFF, ProDesk. Prozessor-Taktfrequenz: 3 GHz, Prozessorfamilie: Intel Core i5-4xxx, Prozessor: i5-4590S. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3L-SDRAM, RAM-Speicher maximal: 16 GB. Gesamtspeicherkapazität: 1000 GB, Speichermedien: Festplatte, Festplattenkapazität: 1000 GB. Optisches Laufwerk - Typ: DVD Super Multi, BD interface Typ: SATA. On-board Grafik Modell: Intel HD Graphics 4600, On-Board Grafikadapter Basisfrequenz: 350 MHz, Maximale dynamische Frequenz der On-Board Grafikadapter: 1150 MHz"
"153_hp_440-mt","1","24801337","3,5 GHz","16 GB","Mini Tower","256 GB","Intel HD Graphics 4600","HP Z 440 MT, E5-1650V3, Mini Tower, 64-bit, SSD, Intel Xeon E5 v3, DVD Super Multi","HP 440 MT, Z. Processor frequency: 3.5 GHz, Processor family: Intel Xeon E5 v3, Processor model: E5-1650V3. Internal memory: 16 GB, Internal memory type: DDR4-SDRAM, Maximum internal memory: 128 GB. Total storage capacity: 256 GB, Storage media: SSD, Solid-state drive capacity: 256 GB. Optical drive type: DVD Super Multi, BD interface type: SATA. Operating system installed: Windows 7 Professional, Operating system architecture: 64-bit, Recovery operating system: Windows 8.1 Pro","HP ProDesk 400 G3 MT, i3-6100, Micro Tower, 64-bit, Festplatte, 10 - 40 °C, 10 - 90%","HP 400 G3 MT, ProDesk. Prozessor-Taktfrequenz: 3,7 GHz, Prozessorfamilie: Intel Core i3-6xxx, Prozessor: i3-6100. RAM-Speicher: 4 GB, Interner Speichertyp: DDR4-SDRAM, RAM-Speicher maximal: 32 GB. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Optisches Laufwerk - Typ: DVD Super Multi. On-board Grafik Modell: Intel HD Graphics 530, On-Board Grafikadapter unterstützte Ausgänge: DVI, DisplayPort, Embedded DisplayPort (eDP), HDMI, On-Board Grafikadapter Basisfrequenz: 350 MHz"
"153_hp_600-g1-sff","1","23061675","3,3 GHz","4 GB","SFF","500 GB","Intel HD Graphics 4600","HP ProDesk 600 G1 SFF, i5-4590, SFF, 64-bit, HDD, Intel Core i5-4xxx, DVD Super Multi","HP 600 G1 SFF, ProDesk. Processor frequency: 3.3 GHz, Processor family: Intel Core i5-4xxx, Processor model: i5-4590. Internal memory: 4 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 32 GB. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Optical drive type: DVD Super Multi, BD interface type: SATA. On-board graphics adapter model: Intel HD Graphics 4600, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1150 MHz","HP ProDesk 600 G1 SFF, i5-4590, SFF, 64-bit, Festplatte, Intel Core i5-4xxx, DVD Super Multi","HP 600 G1 SFF, ProDesk. Prozessor-Taktfrequenz: 3,3 GHz, Prozessorfamilie: Intel Core i5-4xxx, Prozessor: i5-4590. RAM-Speicher: 4 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 32 GB. Gesamtspeicherkapazität: 500 GB, Speichermedien: Festplatte, Festplattenkapazität: 500 GB. Optisches Laufwerk - Typ: DVD Super Multi, BD interface Typ: SATA. On-board Grafik Modell: Intel HD Graphics 4600, On-Board Grafikadapter Basisfrequenz: 350 MHz, Maximale dynamische Frequenz der On-Board Grafikadapter: 1150 MHz"
"153_hp_600-g2-mt","1","29891842","3,2 GHz","8 GB","Micro Tower","8 GB","Intel HD Graphics 530","HP ProDesk 600 G2 MT, i5-6500, Micro Tower, 64-bit, SSD, 10 - 35 °C, 10 - 90%","HP 600 G2 MT, ProDesk. Processor frequency: 3.2 GHz, Processor family: Intel Core i5-6xxx, Processor model: i5-6500. Internal memory: 8 GB, Internal memory type: DDR4-SDRAM, Maximum internal memory: 64 GB. Total storage capacity: 256 GB, Storage media: SSD, Hard drive capacity: 0 GB. Optical drive type: DVD Super Multi. On-board graphics adapter model: Intel HD Graphics 530, On-board graphics adapter outputs supported: DisplayPort, HDMI, VGA (D-Sub), Embedded DisplayPort (eDP), On-board graphics adapter base frequency: 350 MHz","HP ProDesk 600 G2 MT, i5-6500, Micro Tower, 64-bit, SSD, 10 - 35 °C, 10 - 90%","HP 600 G2 MT, ProDesk. Prozessor-Taktfrequenz: 3,2 GHz, Prozessorfamilie: Intel Core i5-6xxx, Prozessor: i5-6500. RAM-Speicher: 8 GB, Interner Speichertyp: DDR4-SDRAM, RAM-Speicher maximal: 64 GB. Gesamtspeicherkapazität: 256 GB, Speichermedien: SSD, Festplattenkapazität: 0 GB. Optisches Laufwerk - Typ: DVD Super Multi. On-board Grafik Modell: Intel HD Graphics 530, On-Board Grafikadapter unterstützte Ausgänge: DisplayPort, HDMI, VGA (D-Sub), Embedded DisplayPort (eDP), On-Board Grafikadapter Basisfrequenz: 350 MHz"
"153_hp_620","1","13710816","2 GHz","16 GB","Mini Tower","1000 GB","Intel HD Graphics 4600","HP Z 620, E5-2620, Minitower, 64-bit, HDD, Intel Xeon E5, DVD Super Multi","HP 620, Z. Processor frequency: 2 GHz, Processor family: Intel Xeon E5, Processor model: E5-2620. Internal memory: 16 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 192 GB. Total storage capacity: 1000 GB, Storage media: HDD, Hard drive capacity: 1000 GB. Optical drive type: DVD Super Multi. Operating system installed: Windows 7 Professional, Operating system architecture: 64-bit","HP Z 230 TWR, i7-4790, Mini Tower, 64-bit, Festplatte, 10 - 40 °C, 10 - 90%","HP 230 TWR, Z. Prozessor-Taktfrequenz: 3,6 GHz, Prozessorfamilie: Intel Core i7-4xxx, Prozessor: i7-4790. RAM-Speicher: 8 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 32 GB. Gesamtspeicherkapazität: 1000 GB, Speichermedien: Festplatte, Festplattenkapazität: 1000 GB. Optisches Laufwerk - Typ: DVD Super Multi. Dediziertes Grafikmodell: NVIDIA Quadro K620, Separater Grafik-Adapterspeicher: 2 GB, On-board Grafik Modell: Intel HD Graphics 4600"
"153_hp_800-g1","1","24673744","3,3 GHz","4 GB","SFF","500 GB","Intel HD Graphics 4600","HP EliteDesk 800 G1, i5-4590, SFF, 64-bit, HDD, 10 - 35 °C, 10 - 90%","HP 800 G1, EliteDesk. Processor frequency: 3.3 GHz, Processor family: Intel Core i5-4xxx, Processor: i5-4590. Internal memory: 4 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 32 GB. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Optical drive type: DVD Super Multi. On-board graphics adapter model: Intel HD Graphics 4600, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1150 MHz","HP Z 440 MT, E5-1650V3, Mini Tower, 64-bit, SSD, Intel Xeon E5 v3, DVD Super Multi","HP 440 MT, Z. Prozessor-Taktfrequenz: 3,5 GHz, Prozessorfamilie: Intel Xeon E5 v3, Prozessor: E5-1650V3. RAM-Speicher: 16 GB, Interner Speichertyp: DDR4-SDRAM, RAM-Speicher maximal: 128 GB. Gesamtspeicherkapazität: 256 GB, Speichermedien: SSD, SSD Speicherkapazität: 256 GB. Optisches Laufwerk - Typ: DVD Super Multi, BD interface Typ: SATA. Vorinstalliertes Betriebssystem: Windows 7 Professional, Betriebssystem Architektur: 64-bit, Recovery-Betriebssystem: Windows 8.1 Pro"
"153_hp_p1g46ea","1","29891041","3,2 GHz","4 GB","Desktop","500 GB","Intel HD Graphics 530","HP EliteDesk P1G46EA, i5-6500, Desktop, 64-bit, HDD, Intel Core i5-6xxx, DVD±RW","HP P1G46EA, EliteDesk. Processor frequency: 3.2 GHz, Processor family: Intel Core i5-6xxx, Processor model: i5-6500. Internal memory: 4 GB, Internal memory type: DDR4-SDRAM, Memory layout (slots x size): 1 x 4 GB. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Optical drive type: DVD±RW. On-board graphics adapter model: Intel HD Graphics 530","HP Z 620, E5-2620, Minitower, 64-bit, Festplatte, Intel Xeon E5, DVD Super Multi","HP 620, Z. Prozessor-Taktfrequenz: 2 GHz, Prozessorfamilie: Intel Xeon E5, Prozessor: E5-2620. RAM-Speicher: 16 GB, Interner Speichertyp: DDR3-SDRAM, RAM-Speicher maximal: 192 GB. Gesamtspeicherkapazität: 1000 GB, Speichermedien: Festplatte, Festplattenkapazität: 1000 GB. Optisches Laufwerk - Typ: DVD Super Multi. Vorinstalliertes Betriebssystem: Windows 7 Professional, Betriebssystem Architektur: 64-bit"
